character,out_degree,in_degree,adaptability_out_strength,adaptability_in_strength,betweenness,betweenness_weighted,gender,category
Mrs. Elton,5,6,0.0246691271548139,0.1588737184703978,0.0004444444444444444,0.0,F,intermediate
Jane,4,4,0.0244166041475635,0.0897688248811369,8.417508417508417e-05,0.00787878787878788,F,intermediate
Mr. Collins,4,4,0.023083778966131802,0.0554487179487179,0.0002525252525252525,0.0,M,intermediate
John Dashwood,3,3,0.0226401376401375,0.030039682539682498,0.0030303030303030303,0.0030303030303030303,M,intermediate
Mr. Rushworth,4,3,0.0222222222222222,0.0285714285714285,0.0006921596921596922,0.0,M,intermediate
Eleanor Tilney,2,3,0.0212603313289811,0.2450769818416877,5.0505050505050505e-05,0.00101010101010101,F,intermediate
John Thorpe,3,2,0.019605142332415,0.031888735208237214,0.0,0.0,M,intermediate
Julia Bertram,5,4,0.0192307692307692,0.0,4.0404040404040405e-05,0.0,F,intermediate
Louisa Musgrove,1,1,0.0185185185185185,0.0296296296296296,0.0,0.0,F,minor
Mr. Palmer,2,1,0.0166666666666666,0.0156249999999999,0.0,0.0,M,minor
Sir William Lucas,1,1,0.0148148148148148,0.0441176470588235,0.0,0.0,M,minor
James Morland,3,3,0.014652014652014616,0.08402293844367009,0.00013468013468013467,0.0,M,minor
Mrs Smith,1,1,0.0144648023143683,0.0372294372294372,0.0,0.0,F,intermediate
George Wickham,1,1,0.0136479591836734,0.0201680672268907,0.0,0.0,M,intermediate
Isabella,2,3,0.0104166666666666,0.0038819875776397,5.0505050505050505e-05,0.0,F,intermediate
Mary,3,3,0.0086206896551724,0.0288888888888888,0.004326599326599326,0.0,F,minor
Harriet Smith,1,3,0.0074584717607973,0.0083624635469978,0.0012121212121212121,0.0012121212121212121,F,major
Mrs. Gardiner,3,2,0.0044150110375275,0.0176923076923076,0.0,0.0,F,intermediate
Admiral Croft,2,2,0.0029629629629629,0.0186170212765957,0.005185185185185185,0.0073737373737373735,M,intermediate
Fanny,1,1,0.0009920634920635,0.0166083916083915,0.0,0.0,F,minor
Sophia Croft,1,2,0.0,0.0,5.0505050505050505e-05,0.0,F,minor
Admiral,1,2,0.0,0.0,0.0,0.0,,
Margaret,3,3,0.0,0.0,0.0,0.0,F,minor
Mrs Clay,2,2,0.0,0.0606060606060606,0.0,0.0,F,minor
Frederick Tilney,1,1,0.0,0.0,0.0,0.0,F,minor
Mr. Hurst,1,0,0.0,0.0,0.0,0.0,M,minor
Mrs. Thorpe,2,1,0.0,0.0108695652173913,0.00010101010101010101,0.0,F,minor
Lady Middleton,1,1,0.0,0.0666666666666666,0.0,0.0,F,minor
Kitty,2,1,0.0,0.0952380952380952,0.0,0.0,F,minor
Dr. Grant,0,1,0.0,0.0,0.0,0.0,M,minor
Mrs. Ford,1,0,0.0,0.0,0.0,0.0,F,minor
Sarah,1,0,0.0,0.0,0.0,0.0,F,minor
The Waiter,1,0,0.0,0.0,0.0,0.0,M,minor
