a_speaker,b_speaker,n_features,n_pairs,n_triggers_total,mean_conv,mean_conv_w,a_gender,a_category,b_gender,b_category
Mr. Brownlow,Mr. Grimwig,9,19,81,0.061459203564466734,0.06367771280051981,M,major,M,intermediate
Mr. Brownlow,Mr. Losberne,9,11,71,-0.021749238415905085,-0.02816901408450705,M,major,M,major
Mr. Brownlow,Mrs. Bedwin,6,7,27,0.055952380952380976,0.06349206349206352,M,major,F,intermediate
Mr. Brownlow,Nance,9,20,108,-0.023361823361823367,-0.012500000000000004,M,major,F,major
Mr. Brownlow,Oliver Twist,9,13,75,0.03809153809153807,0.0328205128205128,M,major,M,major
Mr. Brownlow,Rose Maylie,7,5,30,0.033333333333333326,0.033333333333333326,M,major,F,major
Mr. Bumble,Dick,3,4,9,-3.700743415417188e-17,-3.700743415417188e-17,M,major,M,minor
Mr. Bumble,Monks,9,17,62,0.03188325835384661,0.017077798861480108,M,major,M,major
Mr. Bumble,Mr. Brownlow,6,6,24,-0.013888888888888895,-0.0069444444444444475,M,major,M,major
Mr. Bumble,Mr. Sowerberry,9,21,98,-0.01584526584526586,-0.019922254616132184,M,major,M,intermediate
Mr. Bumble,Mrs. Corney,9,39,206,0.0005307701128134575,0.00037341299477222054,M,major,F,major
Mr. Bumble,Mrs. Mann,9,19,110,-0.017818395914371128,-0.010526315789473663,M,major,F,intermediate
Mr. Bumble,Noah Claypole,1,4,4,0.0,0.0,M,major,M,major
Mr. Bumble,Oliver Twist,4,4,12,-0.0416666666666667,-0.04166666666666669,M,major,M,major
Mr. Bumble,The Magistrate With Spectacles,4,4,13,-0.020833333333333356,-0.01923076923076925,M,major,M,minor
Mr. Chitling,Fagin,9,12,74,-0.05220458553791891,-0.02364864864864869,M,intermediate,M,major
Mr. Chitling,Toby Crackit,8,5,38,-0.012500000000000011,-0.010526315789473694,M,intermediate,M,intermediate
Mr. Duff,Mr. Blathers,3,6,13,0.0,0.0,M,minor,M,intermediate
Mr. Fang,Mr. Brownlow,6,8,30,0.004166666666666661,0.00416666666666666,M,intermediate,M,major
Mr. Fang,The Book-stall Keeper,5,5,18,0.10999999999999996,0.09999999999999996,M,intermediate,M,minor
Mr. Fang,The Officer,4,5,14,-0.020833333333333356,-0.02857142857142859,M,intermediate,M,minor
Mr. Gamfield,Mr. Limbkins,7,5,24,0.05714285714285711,0.04999999999999997,M,minor,M,minor
Mr. Gamfield,The Gentleman In The White Waistcoat,1,3,3,0.0,0.0,M,minor,M,minor
Mr. Giles,Mr. Blathers,6,5,20,0.08055555555555553,0.07999999999999997,M,intermediate,M,intermediate
Mr. Giles,Mr. Brittles,7,8,31,0.08928571428571429,0.07258064516129033,M,intermediate,M,minor
Mr. Giles,Mr. Losberne,8,6,28,0.11458333333333331,0.10714285714285712,M,intermediate,M,major
Mr. Giles,Mrs. Maylie,1,3,3,0.0,0.0,M,intermediate,F,intermediate
Mr. Giles,The Tinker,1,3,3,0.0,0.0,M,intermediate,M,minor
Mr. Grimwig,Mr. Brownlow,9,19,93,0.03999689394426238,0.028296547821165828,M,intermediate,M,major
Mr. Limbkins,Mr. Gamfield,1,3,3,0.0,0.0,M,minor,M,minor
Mr. Limbkins,The Gentleman In The White Waistcoat,2,3,6,0.0,0.0,M,minor,M,minor
Mr. Lively,Fagin,3,3,9,0.0,0.0,M,minor,M,major
Mr. Losberne,Harry Maylie,8,4,29,-0.05208333333333334,-0.04310344827586207,M,major,M,intermediate
Mr. Losberne,Mr. Blathers,6,7,27,0.017857142857142905,0.0317460317460318,M,major,M,intermediate
Mr. Losberne,Mr. Brittles,4,4,13,-0.06250000000000001,-0.0576923076923077,M,major,M,minor
Mr. Losberne,Mr. Brownlow,9,12,64,-0.07059483726150394,-0.04166666666666668,M,major,M,major
Mr. Losberne,Mr. Giles,7,7,29,0.027210884353741503,0.02463054187192119,M,major,M,intermediate
Mr. Losberne,Mrs. Maylie,7,6,30,-0.007142857142857133,-0.005555555555555544,M,major,F,intermediate
Mr. Losberne,Oliver Twist,7,7,41,0.0782312925170068,0.0696864111498258,M,major,M,major
Mr. Losberne,Rose Maylie,9,13,95,-0.015447515447515449,-0.016194331983805668,M,major,F,major
Mr. Losberne,The Hump-backed Man,4,4,12,0.020833333333333315,0.020833333333333315,M,major,M,minor
Mr. Sowerberry,Mr. Bumble,9,21,98,0.06739926739926741,0.09086491739552964,M,intermediate,M,major
Mr. Sowerberry,Mrs. Sowerberry,6,6,24,0.04444444444444443,0.04166666666666666,M,intermediate,F,intermediate
Mr. Sowerberry,Oliver Twist,3,3,9,0.0,0.0,M,intermediate,M,major
Mrs. Bedwin,Mr. Brownlow,5,8,27,-0.03499999999999999,-0.03703703703703703,F,intermediate,M,major
Mrs. Bedwin,Oliver Twist,9,11,65,0.03469215969215969,0.020979020979020976,F,intermediate,M,major
Mrs. Bolter,Noah Claypole,9,23,98,0.020847845123207448,0.03904170363797693,F,intermediate,M,major
Mrs. Corney,Monks,9,25,144,-0.04124480837990957,-0.037500000000000006,F,major,M,major
Mrs. Corney,Mr. Bumble,9,38,148,0.062294203522273724,0.0373399715504979,F,major,M,major
